shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
סלט גזר חי בשמן זית,"Salad, carrot (fresh) with olive oil",85,"Food item: Salad, carrot (fresh) with olive oil",מזון: סלט גזר חי בשמן זית
סלט גזר מרוקאי - מבושל,"Salad, carrot, cooked, Moroccan",78,"Food item: Salad, carrot, cooked, Moroccan",מזון: סלט גזר מרוקאי - מבושל
סלט גזר מרוקאי בשמן סויה עם פלפל חריף,"Salad, carrot, cooked, Moroccan, in soy oil with hot pepper",58,"Food item: Salad, carrot, cooked, Moroccan, in soy oil with hot pepper",מזון: סלט גזר מרוקאי בשמן סויה עם פלפל חריף
"גזר, מבושל, עם מלח, טרי, ללא תוספת שומן בבישול","Carrots, cooked, from fresh, fat not added",35,"Food item: Carrots, cooked, from fresh, fat not added","מזון: גזר, מבושל, עם מלח, טרי, ללא תוספת שומן בבישול"
"גזר, מבושל, קפוא, ללא תוספת שומן בבישול, עם מלח","Carrots, cooked, from frozen, fat not added ",37,"Food item: Carrots, cooked, from frozen, fat not added","מזון: גזר, מבושל, קפוא, ללא תוספת שומן בבישול, עם מלח"
"גזר, מבושל, משומר, ללא תוספת שומן בבישול","Carrots, cooked, from canned, fat not added ",25,"Food item: Carrots, cooked, from canned, fat not added","מזון: גזר, מבושל, משומר, ללא תוספת שומן בבישול"
"סלט גזר מרוקאי, כולל סלטי שמיר","Salad, carrot, Moroccan, inc. Shamir Salads",62,"Food item: Salad, carrot, Moroccan, inc. Shamir Salads","מזון: סלט גזר מרוקאי, כולל סלטי שמיר"
גזר אפוי עם שמן סויה,"Carrots, baked with soy oil",103,"Food item: Carrots, baked with soy oil",מזון: גזר אפוי עם שמן סויה
"סלט גזר מרוקאי, אחלה","Salad, carrot, Moroccan, Achla",104,"Food item: Salad, carrot, Moroccan, Achla","מזון: סלט גזר מרוקאי, אחלה"
"גזר מבושל מתוק, צימעס, עם מרגרינה","Carrots,cooked, tzimmes (sweetened), with margarine",83,"Food item: Carrots,cooked, tzimmes (sweetened), with margarine","מזון: גזר מבושל מתוק, צימעס, עם מרגרינה"
גזר מזוגג עם שמן קנולה,"Carrots, glazed,  with canola oil",55,"Food item: Carrots, glazed,  with canola oil",מזון: גזר מזוגג עם שמן קנולה
מיץ גזר,"Juice, carrot",40,"Food item: Juice, carrot",מזון: מיץ גזר
"אפונה וגזר, מבושלים מטרי, ללא תוספת שומן בבישול, עם מלח","Peas and carrots, cooked, from fresh, fat not added",64,"Food item: Peas and carrots, cooked, from fresh, fat not added","מזון: אפונה וגזר, מבושלים מטרי, ללא תוספת שומן בבישול, עם מלח"
"אפונה וגזר, מבושלים, קפואים, ללא תוספת שומן בבישול, עם מלח","Peas and carrots, cooked, from frozen, fat not added",48,"Food item: Peas and carrots, cooked, from frozen, fat not added","מזון: אפונה וגזר, מבושלים, קפואים, ללא תוספת שומן בבישול, עם מלח"
"אפונה וגזר, מבושלים, משומרים,ללא תוספת שומן בבישול","Peas and carrots, cooked, from canned, fat not added",52,"Food item: Peas and carrots, cooked, from canned, fat not added","מזון: אפונה וגזר, מבושלים, משומרים,ללא תוספת שומן בבישול"
"דלעת, עם קליפה וגרעינים, טריה","Pumpkin, raw, with inedible portions",18,"Food item: Pumpkin, raw, with inedible portions","מזון: דלעת, עם קליפה וגרעינים, טריה"
"דלעת, מבושלת ברסק עגבניות ושמן סויה","Pumpkin, cooked in tomato paste and soy oil",68,"Food item: Pumpkin, cooked in tomato paste and soy oil","מזון: דלעת, מבושלת ברסק עגבניות ושמן סויה"
"בטטה אפוייה, קליפה נאכלה, ללא תוספת שומן, עם מלח ","Sweet potato, baked, peel eaten, fat not added ",89,"Food item: Sweet potato, baked, peel eaten, fat not added","מזון: בטטה אפוייה, קליפה נאכלה, ללא תוספת שומן, עם מלח"
בטטה מטוגנת בשמן קנולה,"Sweet potato, fried in canola oil",138,"Food item: Sweet potato, fried in canola oil",מזון: בטטה מטוגנת בשמן קנולה
"בטטה טריה, עם קליפה","Sweet potato, raw, with skin",86,"Food item: Sweet potato, raw, with skin","מזון: בטטה טריה, עם קליפה"
"בטטה טריה, עם קליפה (קליפה לא נאכלה)","Sweet potato, with skin, skin not eaten",62,"Food item: Sweet potato, with skin, skin not eaten","מזון: בטטה טריה, עם קליפה (קליפה לא נאכלה)"
"בטטה אפוייה, קליפה לא נאכלה, ללא תוספת שומן, עם מלח","Sweet potato, baked, peel not eaten, fat not added, salt added",90,"Food item: Sweet potato, baked, peel not eaten, fat not added, salt added","מזון: בטטה אפוייה, קליפה לא נאכלה, ללא תוספת שומן, עם מלח"
"בטטה מבושלת, ללא קליפה, ללא תוספת שומן, עם מלח","Sweet potato, peeled, cooked, fat not added, salt added",76,"Food item: Sweet potato, peeled, cooked, fat not added, salt added","מזון: בטטה מבושלת, ללא קליפה, ללא תוספת שומן, עם מלח"
"בטטה מבושלת, עם קליפה, ללא תוספת שומן, עם מלח","Sweet potato, boiled with peel, peel not eaten, fat not added",76,"Food item: Sweet potato, boiled with peel, peel not eaten, fat not added","מזון: בטטה מבושלת, עם קליפה, ללא תוספת שומן, עם מלח"
"עגבניה, טריה","Tomatoes, raw",18,"Food item: Tomatoes, raw","מזון: עגבניה, טריה"
אבקת עגבניות,"Tomatoes, powder",302,"Food item: Tomatoes, powder",מזון: אבקת עגבניות
"עגבניות, מבושלות, לפנ לסוג, לפנ לשיטת הבישול, עם מלח","Tomatoes, cooked, NS as to form, NS as to method",17,"Food item: Tomatoes, cooked, NS as to form, NS as to method","מזון: עגבניות, מבושלות, לפנ לסוג, לפנ לשיטת הבישול, עם מלח"
"עגבניות, מבושלות, משומרות, לפנ לשיטת הבישול","Tomatoes, cooked, from canned, NS as to method",17,"Food item: Tomatoes, cooked, from canned, NS as to method","מזון: עגבניות, מבושלות, משומרות, לפנ לשיטת הבישול"
"עגבניות, טריות, בגריל","Tomatoes, from fresh, grilled",22,"Food item: Tomatoes, from fresh, grilled","מזון: עגבניות, טריות, בגריל"
עגבניות מטוגנות בשמן זית,"Tomatoes, fried in olive oil",117,"Food item: Tomatoes, fried in olive oil",מזון: עגבניות מטוגנות בשמן זית
עגבניות מטוגנות בשמן קנולה,"Tomatoes, fried in canola oil",117,"Food item: Tomatoes, fried in canola oil",מזון: עגבניות מטוגנות בשמן קנולה
עגבניות מטוגנות בשמן סויה,"Tomatoes, fried in soy oil",117,"Food item: Tomatoes, fried in soy oil",מזון: עגבניות מטוגנות בשמן סויה
"עגבניות, טריות, מבושלות, עם מלח","Tomatoes, from fresh, stewed",59,"Food item: Tomatoes, from fresh, stewed","מזון: עגבניות, טריות, מבושלות, עם מלח"
"עגבניות, משומרות, מבושלות","Tomatoes, from canned, stewed",26,"Food item: Tomatoes, from canned, stewed","מזון: עגבניות, משומרות, מבושלות"
"עגבניות מקולפות קוביות/חתוכות/שלמות, טל","Tomatoes, peeled (cubed, chopped, whole), Tal",20,"Food item: Tomatoes, peeled (cubed, chopped, whole), Tal","מזון: עגבניות מקולפות קוביות/חתוכות/שלמות, טל"
"עגבניות כתושות, קבוצת יבנה","Tomatoes, crushed, canned, Yavne",32,"Food item: Tomatoes, crushed, canned, Yavne","מזון: עגבניות כתושות, קבוצת יבנה"
"עגבניות מרוסקות (Plain,שום,בצל,בזיליקום),מילוז","Tomatoes, crushed (plain, garlic, onion, basil), Miluz",35,"Food item: Tomatoes, crushed (plain, garlic, onion, basil), Miluz","מזון: עגבניות מרוסקות (Plain,שום,בצל,בזיליקום),מילוז"
"עגבניות, ירוקות, כבושות, עם תוספת סוכר","Tomatoes, green, pickled, with added sugar",36,"Food item: Tomatoes, green, pickled, with added sugar","מזון: עגבניות, ירוקות, כבושות, עם תוספת סוכר"
"עגבניות, אדומות, מיובשות, עם מלח","Tomatoes, red, dried",258,"Food item: Tomatoes, red, dried","מזון: עגבניות, אדומות, מיובשות, עם מלח"
"עגבניות מיובשות בשמן, אוליביה","Tomatoes, dried, in oil, Olivia",428,"Food item: Tomatoes, dried, in oil, Olivia","מזון: עגבניות מיובשות בשמן, אוליביה"
סלט מטבוחה עם שמן קנולה,"Salad, matbucha, with canola oil",48,"Food item: Salad, matbucha, with canola oil",מזון: סלט מטבוחה עם שמן קנולה
סלט מטבוחה בשמן סויה,"Salad, matbucha, with soy oil",48,"Food item: Salad, matbucha, with soy oil",מזון: סלט מטבוחה בשמן סויה
"סלט תורכי איסטנבול , שמיר","Salad, spicy tomato and peppers, Turkish, Shamir",97,"Food item: Salad, spicy tomato and peppers, Turkish, Shamir","מזון: סלט תורכי איסטנבול , שמיר"
"סלט טורקי,שטראוס,מיקי,בית השיטה, שמיר,צבר","Salad, Turkish, Strauss/Miki/Beit HaShita/Shamir/Tzabar",103,"Food item: Salad, Turkish, Strauss/Miki/Beit HaShita/Shamir/Tzabar","מזון: סלט טורקי,שטראוס,מיקי,בית השיטה, שמיר,צבר"
עגבניות במילוי אורז ברסק עגבניות ושמן סויה,"Tomatoes, stuffed with rice, in tomato paste, with soy oil",70,"Food item: Tomatoes, stuffed with rice, in tomato paste, with soy oil",מזון: עגבניות במילוי אורז ברסק עגבניות ושמן סויה
עגבניות במילוי אורז ובשר בקר ברסק עגבניות ושמן סויה,"Tomatoes, stuffed with rice,  beef and tomato paste, with  soy oil",81,"Food item: Tomatoes, stuffed with rice,  beef and tomato paste, with  soy oil",מזון: עגבניות במילוי אורז ובשר בקר ברסק עגבניות ושמן סויה
סלט עגבניות מבושלות עם פלפל חריף ושמן סויה,"Salad, cooked tomato with hot pepper, with soy oil",93,"Food item: Salad, cooked tomato with hot pepper, with soy oil",מזון: סלט עגבניות מבושלות עם פלפל חריף ושמן סויה
סלט עגבניות מבושלות עם שום ושמן סויה,"Salad, cooked tomato with garlic and soy oil",100,"Food item: Salad, cooked tomato with garlic and soy oil",מזון: סלט עגבניות מבושלות עם שום ושמן סויה
"סלט עגבניות עם בצל, סחוג, שום ושמן סויה","Salad, tomatoes with onion, s'chug, garlic and soy oil",27,"Food item: Salad, tomatoes with onion, s'chug, garlic and soy oil","מזון: סלט עגבניות עם בצל, סחוג, שום ושמן סויה"
סלט עגבניות עם לבבות דקל ושמן זית,"Salad, tomato with hearts of palm and olive oil",74,"Food item: Salad, tomato with hearts of palm and olive oil",מזון: סלט עגבניות עם לבבות דקל ושמן זית
סלט עגבניות עם פטריות ושמן זית,"Salad, tomato with mushrooms and olive oil",57,"Food item: Salad, tomato with mushrooms and olive oil",מזון: סלט עגבניות עם פטריות ושמן זית
מיץ עגבניות משומר עם תוספת מלח,"Juice, tomato, canned, with salt added",17,"Food item: Juice, tomato, canned, with salt added",מזון: מיץ עגבניות משומר עם תוספת מלח
"מיץ עגבניות וירקות, בעיקר עגבניות, משומר","Juice, tomato and vegetable, mostly tomato, canned",19,"Food item: Juice, tomato and vegetable, mostly tomato, canned","מזון: מיץ עגבניות וירקות, בעיקר עגבניות, משומר"
קטשופ עגבניות,Tomato ketchup (catsup),112,Food item: Tomato ketchup (catsup),מזון: קטשופ עגבניות
"קטשופ, אסם","Tomato ketchup, Osem",109,"Food item: Tomato ketchup, Osem","מזון: קטשופ, אסם"
"רוטב עגבניות, טעמים שונים, ברילה","Tomato sauce, various flavors, Barilla",72,"Food item: Tomato sauce, various flavors, Barilla","מזון: רוטב עגבניות, טעמים שונים, ברילה"
רוטב עגבניות טריות לג'חנון עם שמן זית וסחוג,"Sauce, fresh tomato, with s'chug and olive oil, for jachnun",54,"Food item: Sauce, fresh tomato, with s'chug and olive oil, for jachnun",מזון: רוטב עגבניות טריות לג'חנון עם שמן זית וסחוג
סחוג ביתי,"S'chug, homemade",78,"Food item: S'chug, homemade",מזון: סחוג ביתי
